mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,sample_trace,FIFO,GlobalAllocation,4,0,3800,{'trace_kind': 'trace'},0.0038
isolation,1,sample_trace,FIFO,GlobalAllocation,4,0,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,FIFO,GlobalAllocation,4,1,2700,{'trace_kind': 'trace'},0.0027
isolation,1,sample_trace,FIFO,GlobalAllocation,4,1,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,LocalAllocation,4,0,2900,{'trace_kind': 'trace'},0.0029
isolation,1,sample_trace,FIFO,LocalAllocation,4,0,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,LocalAllocation,4,1,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,LocalAllocation,4,1,2600,{'trace_kind': 'trace'},0.0026
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,0,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,0,2600,{'trace_kind': 'trace'},0.0026
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,1,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,1,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,LRU,GlobalAllocation,4,0,3600,{'trace_kind': 'trace'},0.0036
isolation,1,sample_trace,LRU,GlobalAllocation,4,0,3700,{'trace_kind': 'trace'},0.0037
isolation,0,sample_trace,LRU,GlobalAllocation,4,1,3500,{'trace_kind': 'trace'},0.0035
isolation,1,sample_trace,LRU,GlobalAllocation,4,1,3400,{'trace_kind': 'trace'},0.0034
isolation,0,sample_trace,LRU,LocalAllocation,4,0,4400,{'trace_kind': 'trace'},0.0044
isolation,1,sample_trace,LRU,LocalAllocation,4,0,3600,{'trace_kind': 'trace'},0.0036
isolation,0,sample_trace,LRU,LocalAllocation,4,1,3300,{'trace_kind': 'trace'},0.0033
